When-Taking-Survey,First-Time,Status,Status-Other,Department,Discipline,Discipline-Other,OS,With-Friend,Programming-Usage,Column4,Current-Tools,Have-Dataset,Data-Management-Strategy,Data-Analysis-Workflow,Data-Organization,Using-Scripting-Language,Using-R-or-Python,Value-of-SQL-or-Python,Hope-to-Learn,Workshop-in-US
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Evolutionary Biology,"Life science (ecology, zoology, botany)",,Apple OS,Yes,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,SQL,R,Python,MATLAB,","Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Very unsatisfied,Strongly agree,Strongly agree,Strongly agree,Neutral,Skills I can easily apply to my daily computational research.,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Bioinformatics,"Life science (biology, genetics)",,Windows,Yes,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,SQL,R","Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Agree,Neutral,Neutral,Neutral,"Data analysis and organization,   It would be nice if it starts from basics and then gets harder.",Yes
I am taking this survey before coming to the workshop,Yes,Staff,,Chemistry,Chemistry,,Apple OS,No,Weekly,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Neutral,Neutral,Strongly agree,Agree,Agree,Neutral,I hope to be able to expand my toolset.,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Nutrition and Metabolism,Medicine,,Windows,Not sure,Weekly,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly agree,Agree,Neutral,Neutral,"I've been programming with SAS for several years, but several of the other investigators in my section believe R is much better, so I would like to learn some of the fundamentals. ",Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Bioinformatics,"Life science (biology, genetics)",,Windows,Yes,Less than once a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,SQL","Yes, I have data but I haven't started analyzing it yet.",Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I would like to learn how to efficiently analyze data and get a better understanding of how to do it with prorams such as R.,Yes
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Staff,,Microbiology,"Life science (biology, genetics)",,Windows,No,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,I hope to be able to analyze HTS data.,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Neuroscience/pharmacology,Brain and neurosciencse,,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Neutral,Neutral,How to better manage analysis of large datasets (in an efficient and reproducible manner),Yes
I am taking this survey before coming to the workshop,Yes,Faculty,,Medicine,"Life science (biology, genetics)",,Apple OS,Not sure,Several times a year,,R,"Yes, and I've already done a fair bit of analysis.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Agree,To gain a better understanding of how a pipeline can be constructed.,Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,,"Life science (biology, genetics)",,Apple OS,Not sure,I have never programmed,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, I have data but I haven't started analyzing it yet.",Neutral,Neutral,Agree,Agree,Neutral,Neutral,I hope to gain some tools to help my ability to analyze RNA seq data,Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,Biochemistry,"Life science (biology, genetics)",,Apple OS,Not sure,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly agree,Agree,Neutral,Neutral,I hope to gain more flexibility in data analysis as well as be able to perform analyses that I currently cannot with my current workflow and skills.,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Genetics and Genomics,"Life science (biology, genetics)",,Apple OS,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Not applicable,Not applicable,Agree,Neutral,Neutral,Neutral,An introduction to pipelines data analysis.    Analysis of sample data e.g. RNAseq data.  Visualization of results. ,Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,orthopaedic Surgery,"Life science (biology, genetics)",,Apple OS,No,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,MATLAB","Yes, I have data but I haven't started analyzing it yet.",Neutral,Neutral,Strongly agree,Agree,Agree,Neutral,The gold standard/ traditional techniques as I am new to the field,Yes
I am taking this survey before coming to the workshop,Yes,Staff,,IS&T,"Tech support, lab tech, or support programmer",,Windows,Yes,Daily,,SQL,I do not have data yet.,Not applicable,Not applicable,Strongly agree,Agree,Agree,Neutral,"know more about current need and trend of the field, and what would be the focus in the community, and what tools available and what services are expected.  ",Yes
I am taking this survey before coming to the workshop,Yes,Staff,,CTE Center,"Life science (biology, genetics)",,Apple OS,Yes,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Satisfied,Satisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Utilizing R for a more varied set off analyses; developing a greater confidence with R.,Yes
I am taking this survey before coming to the workshop,Yes,Staff,,Pharmacology ,Public health,,Windows,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Unsatisfied,Neutral,Strongly agree,Neutral,Neutral,Neutral,"New ways to manage, share, and analyze data",Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Behavioral Neuroscience,Brain and neurosciencse,,Apple OS,No,I have never programmed,,,"Yes, and I've already done a fair bit of analysis.",Neutral,Very unsatisfied,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,I would like to gain an introduction and a roadmap to gain expertise in data manipulation and analysis.,Yes
I am taking this survey before coming to the workshop,Yes,Staff,,Research Computing Services,"Tech support, lab tech, or support programmer",,Linux,Yes,Daily,,"R,Python",I do not have data yet.,Neutral,Neutral,Agree,Agree,Agree,Agree,,Yes
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Faculty,,Neurology,Medicine,,Apple OS,Not sure,Weekly,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Agree,Agree,Agree,Agree,introduction to the command line and bioinformatic pipelines,Yes
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,,,,"Life science (biology, genetics)",,Windows,Not sure,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Not sure,Not sure,Agree,Neutral,Neutral,Neutral,,Yes
I am taking this survey before coming to the workshop,Yes,Other (please specify),"Agricultural Engineer, USDA-ARS",Southeast Watershed Research Laboratory,"Earth sciences (geology, oceanography, meterorology)",,Windows,Yes,Daily,,,"Yes, I have data but I haven't started analyzing it yet.",Neutral,Very unsatisfied,Agree,Neutral,Neutral,Neutral,Better understanding of R and SQL.,Yes
I am taking this survey before coming to the workshop,Yes,Faculty,,PMSPRU,"Life science (biology, genetics)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Neutral,expect to analyze my data efficiently,Yes
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Staff,,"Insect Reseach Unit, USHRL","Tech support, lab tech, or support programmer",,Windows,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Not applicable,Not applicable,Agree,Neutral,Neutral,Neutral,Learn more strategies to analyze data so I can provide more support to my Supervisor and for my own professional growth. ,Yes
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Faculty,,,Other (please specify),Food Safety,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"I want to learn some programming language to analyze data in excel spreadsheets; also, develop a strategy for how to improve analysis by customizing programming.",Yes
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Other (please specify),Associate Provost for Research,Academic Affairs,Other (please specify),Education AND Economics,Windows,No,I have never programmed,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access","Yes, and I've already done a fair bit of analysis.",Very satisfied,Satisfied,Strongly agree,Agree,Agree,Neutral,Learn more about Data Carpentry's tools and thinking,Yes
I am taking this survey before coming to the workshop,No,Graduate Student,,Microbiology,"Life science (biology, genetics)",,Apple OS,Yes,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,Python","Yes, and I've already done a fair bit of analysis.",Satisfied,Satisfied,Strongly agree,Strongly agree,Strongly agree,Neutral,I want to learn how to use R and apply it to my data.,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Microbiology,Other (please specify),Bacterial Epidemiology and Antimicrobial Resistance,Not sure,Yes,Several times a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly agree,Neutral,Neutral,Neutral,To get the idea of what R is (I have never used or learnt about it) and see if it can be helpful to my research. ,Yes
